"('content', '로봇이 배달을 하다가 멈췄어')","('additional_kwargs', {})","('response_metadata', {})","('type', 'human')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)"
"('content', '[Symptom expert]에 할당')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '고객님의 증상은 ""멈칫거림 및 멈춤""으로 분류됩니다.')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '증상 ""멈칫거림 및 멈춤""에 대한 원인은 다음과 같습니다:\n\n1. 자율주행 오류(멈춤, 금지구역침범 등) - 6회\n2. 매장 내 테이블 등 배치 변경 - 5회\n3. 매장 내 신규 장애물 발생 - 4회\n4. 센서 이물질 - 3회\n5. 로봇 에러(재부팅 필요) - 1회\n6. 로봇 에러 - 1회\n7. 맵핑오류, 라이다 틀어짐 - 1회\n8. 바퀴 불량 - 1회')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '나열된 순서대로 원인이 발생한적 있는지 스무고개 형태로 파악해주세요. 질문을 먼저 시작해주세요.')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '자율주행 오류(멈춤, 금지구역침범 등)이 발생했나요?')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '잘 모르겠어')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '매장 내 테이블 등 배치 변경이 있었나요?')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '아니')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '매장 내 신규 장애물이 생겼나요?')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '그런거 같아')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '센서에 이물질이 묻어있지는 않나요?')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '잘 모르겠네')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '로봇 에러(재부팅 필요)가 발생했나요?')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '어')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
"('content', '로봇 에러가 발생했나요?')","('additional_kwargs', {})","('response_metadata', {})","('type', 'ai')","('name', None)","('id', 'b944c102c5e245c62d787f2bec4d3064d410a7a28782609f2fe2e625b94a35505d')","('example', False)","('tool_calls', [])","('invalid_tool_calls', [])","('usage_metadata', None)"
